sap_substation_name,lcr_area,city_served,division,owner,n_city_rows,match_type,match_score,pge_name,pge_norm_name,pge_voltage_kv,pge_lat,pge_lon
CHEVRON PIPELINE LOS BANOS SUB,Greater Fresno,Merced County,FRESNO,nonPGE,1,unmatched,0.0,,,,,
CHILI BAR PH,Sierra,El Dorafo County,SIERRA,PGE,1,unmatched,0.0,,,,,
CHOWCHILLA #2 NEO SUB,Greater Fresno,Madera County,FRESNO,PGE,1,unmatched,0.0,,,,,
CHOWCHILLA #3 CO-GEN SJVE SUB,Greater Fresno,Madera County,FRESNO,PGE,1,unmatched,0.0,,,,,
CHOWCHILLA SUB,Greater Fresno,Chowchilla,YOSEMITE,PGE,1,exact,100.0,CHOWCHILLA,CHOWCHILLA,12.0,37.12083563007519,-120.25043505532854
CHRISTIE SUB,Greater Bay Area,Hercules,DIABLO,PGE,1,unmatched,0.0,,,,,
CLARKSVILLE SUB,Sierra,Cameron Park; El Dorado Hills; Folsom,SIERRA,PGE,3,exact,100.0,CLARKSVILLE,CLARKSVILLE,21.0,38.6556481194856,-121.05997890956418
CLAYTON SUB,Greater Bay Area,Alamo; Clayton; Concord; Walnut Creek,DIABLO,PGE,4,exact,100.0,CLAYTON,CLAYTON,21.0,37.94428985556829,-121.96926364911442
CLEAR LAKE SUB,North Coast/North Bay,Kelseyville; Lakeport,NORTH COAST,PGE,2,exact,100.0,CLEAR LAKE,CLEAR LAKE,12.0,39.007758745598494,-122.89345093801266
CLOVERDALE SUB,North Coast/North Bay,Cloverdale,NORTH COAST,PGE,1,exact,100.0,CLOVERDALE,CLOVERDALE,12.0,38.79708983960812,-123.01056995209038
CLOVIS SUB,Greater Fresno,Clovis; Fresno,FRESNO,PGE,2,exact,100.0,CLOVIS,CLOVIS,12.0,36.82632258904477,-119.68092161392016
COALINGA NO.1 SUB,Greater Fresno,Coalinga,FRESNO,PGE,1,fuzzy,84.61538461538461,COALINGA NO 2,COALINGA NO 2,12.0,36.237727890424445,-120.31459024852086
COALINGA NO.2 SUB,Greater Fresno,Coalinga,FRESNO,PGE,1,fuzzy,84.61538461538461,COALINGA NO 2,COALINGA NO 2,12.0,36.237727890424445,-120.31459024852086
COARSEGOLD SUB,Greater Fresno,Oakhurst; Yosemite Lakes,YOSEMITE,PGE,2,exact,100.0,COARSEGOLD,COARSEGOLD,21.0,37.22741691128599,-119.690552055026
COLGATE SUB,Sierra,Dobbins,SIERRA,PGE,1,unmatched,0.0,,,,,
COLONY SUB,Stockton,Lockeford,STOCKTON,PGE,1,exact,100.0,COLONY,COLONY,12.0,38.19050048956095,-121.18105263498548
COLUMBIA HILL SUB,Sierra,Sweetland,SIERRA,PGE,1,exact,100.0,COLUMBIA HILL,COLUMBIA HILL,12.0,39.3315648176399,-121.10125373763962
COLUMBUS SUB,Kern,Bakersfield,KERN,PGE,1,exact,100.0,COLUMBUS,COLUMBUS,12.0,35.39851810200948,-118.93981268255826
CONCORD SUB,Greater Bay Area,Concord,DIABLO,PGE,1,unmatched,0.0,,,,,
CONTADINA SUB,Greater Fresno,Fresno County,FRESNO,nonPGE,1,unmatched,0.0,,,,,
CONTRA COSTA PP SUB,Greater Bay Area,Antioch,DIABLO,nonPGE,1,fuzzy,88.88888888888889,CONTRA COSTA,CONTRA COSTA,21.0,37.99867901702416,-121.78318387764637
CONTRA COSTA SUB,Greater Bay Area,Antioch; Brentwood; Oakley,DIABLO,PGE,3,exact,100.0,CONTRA COSTA,CONTRA COSTA,21.0,37.99867901702416,-121.78318387764637
COOLEY LANDING SUB,Greater Bay Area,Palo Alto,PENINSULA,PGE,1,unmatched,0.0,,,,,
